Designator, Mid X, Mid Y, Layer, Rotation
TRI1, 162.8003mm, 110.2002mm, T, 0
R79, 43.5001mm, 106.9002mm, T, 270
C37, 29.9001mm, 117.9002mm, T, 270
U14, 45.0001mm, 97.1002mm, T, 0
C36, 80.4002mm, 116.9002mm, T, 90
R78, 201.5504mm, 119.8002mm, T, 180
R77, 201.6004mm, 101.0002mm, T, 180
R76, 201.6004mm, 82.0002mm, T, 180
R70, 201.6004mm, 63.0001mm, T, 180
R67, 201.6004mm, 43.8001mm, T, 180
R55, 201.6004mm, 138.9003mm, T, 180
D21, 197.9254mm, 119.9002mm, T, 0
D20, 197.9254mm, 101.0002mm, T, 0
D19, 197.9254mm, 82.1002mm, T, 0
D18, 197.9254mm, 63.1001mm, T, 0
D17, 197.9254mm, 43.9001mm, T, 0
D15, 197.9254mm, 138.9003mm, T, 0
C35, 104.7002mm, 74.8002mm, T, 270
C34, 107.1002mm, 74.8002mm, T, 270
C32, 171.3004mm, 73.8002mm, T, 270
C31, 227.5005mm, 63.4001mm, T, 180
C30, 138.4003mm, 73.7002mm, T, 90
C29, 227.7005mm, 138.9003mm, T, 0
C28, 227.7005mm, 82.5002mm, T, 0
C27, 227.6005mm, 44.3001mm, T, 0
C26, 228.0005mm, 120.2002mm, T, 0
C25, 227.9005mm, 101.4002mm, T, 0
R61, 228.0005mm, 122.1003mm, T, 0
D13, 225.2005mm, 122.1003mm, T, 90
R60, 136.7003mm, 79.8002mm, T, 0
R56, 136.7003mm, 81.4002mm, T, 0
C18, 92.1002mm, 99.1002mm, T, 270
U6, 41.9501mm, 127.4997mm, T, 0
R51, 227.6005mm, 46.4001mm, T, 0
R49, 227.8005mm, 140.9003mm, T, 0
R7, 97.7902mm, 47.7521mm, T, 270
R8, 119.4002mm, 47.6001mm, T, 270
R9, 122.0003mm, 47.6001mm, T, 270
R10, 107.3002mm, 47.6001mm, T, 270
R11, 109.9002mm, 47.6001mm, T, 270
R71, 59.1001mm, 47.6001mm, T, 270
R46, 158.7003mm, 78.7002mm, T, 0
R66, 46.6001mm, 107.4002mm, T, 180
C14, 51.7001mm, 96.6002mm, T, 90
X1, 29.8751mm, 97.5002mm, T, 90
U2, 39.3001mm, 97.7002mm, T, 0
R75, 29.7001mm, 107.4002mm, T, 180
R74, 43.1001mm, 92.0002mm, T, 0
R73, 41.9001mm, 106.9002mm, T, 270
R72, 50.4001mm, 107.4002mm, T, 0
Q20, 50.5001mm, 102.8002mm, T, 0
Q4, 45.7501mm, 102.8002mm, T, 0
D16, 27.3001mm, 106.1252mm, T, 90
C17, 49.9001mm, 96.6002mm, T, 90
C16, 37.8001mm, 102.4002mm, T, 180
C15, 38.5001mm, 92.1002mm, T, 0
C13, 41.1001mm, 102.4002mm, T, 0
C11, 37.7001mm, 100.5002mm, T, 0
C10, 41.2001mm, 100.5002mm, T, 180
R44, 70.8661mm, 131.4453mm, T, 0
IC1, 62.5251mm, 136.8753mm, T, 90
R2, 61.6001mm, 47.6001mm, T, 270
R68, 44.0001mm, 78.8002mm, T, 90
L1, 49.2001mm, 74.1002mm, T, 0
R69, 103.4002mm, 132.0003mm, T, 180
J2, 109.0002mm, 88.3002mm, T, 90
R19, 70.6002mm, 137.4003mm, T, 0
R18, 70.6121mm, 138.9383mm, T, 0
R17, 70.6002mm, 140.4003mm, T, 0
C3, 55.6261mm, 101.2192mm, T, 180
R65, 74.1752mm, 121.1003mm, T, 0
R64, 74.1251mm, 124.1003mm, T, 0
R63, 74.1251mm, 125.4003mm, T, 0
R50, 74.2002mm, 122.4003mm, T, 0
BS4, 68.2001mm, 124.5003mm, T, 0
BS3, 68.2001mm, 120.8002mm, T, 0
C1, 55.7001mm, 114.4002mm, T, 0
U11, 87.9002mm, 111.3252mm, T, 0
R58, 227.9005mm, 103.5002mm, T, 0
R57, 227.7005mm, 84.7002mm, T, 0
R52, 227.5005mm, 65.5001mm, T, 0
D12, 225.0005mm, 103.7002mm, T, 90
D11, 225.0005mm, 84.7002mm, T, 90
D10, 224.8005mm, 65.5001mm, T, 90
D9, 225.0005mm, 46.3001mm, T, 90
D1, 225.1005mm, 140.8003mm, T, 90
R26, 94.6002mm, 122.0003mm, T, 180
R45, 70.8661mm, 129.7943mm, T, 0
R43, 88.6502mm, 141.9003mm, T, 0
R42, 88.7002mm, 140.1003mm, T, 0
R41, 88.7002mm, 138.2003mm, T, 0
R40, 70.6121mm, 141.9863mm, T, 0
R39, 58.0001mm, 112.7002mm, T, 180
R38, 58.0391mm, 123.3172mm, T, 90
R37, 59.5631mm, 123.3172mm, T, 90
R36, 56.5151mm, 123.3172mm, T, 90
R35, 60.6001mm, 129.9003mm, T, 90
R34, 59.2001mm, 129.9003mm, T, 90
R33, 57.8001mm, 129.9003mm, T, 90
R32, 56.4001mm, 129.9003mm, T, 90
R31, 61.2001mm, 142.6003mm, T, 270
R30, 62.0001mm, 129.9003mm, T, 90
R15, 59.8001mm, 142.6003mm, T, 270
U3, 65.0495mm, 105.9752mm, T, 0
U1, 59.6901mm, 116.5862mm, T, 90
TRI2, 138.1003mm, 110.3002mm, T, 0
R25, 66.1671mm, 112.6492mm, T, 0
R20, 106.2992mm, 138.9383mm, T, 0
R16, 125.2003mm, 78.7002mm, T, 0
R14, 111.9002mm, 131.9003mm, T, 0
R13, 78.1002mm, 141.2003mm, T, 90
R12, 96.5002mm, 110.1002mm, T, 270
R6, 95.3002mm, 47.6001mm, T, 270
R5, 85.7252mm, 47.7521mm, T, 270
R4, 83.2002mm, 47.6001mm, T, 270
R3, 73.6601mm, 47.7521mm, T, 270
R1, 71.2002mm, 47.8001mm, T, 270
C8, 54.7441mm, 97.3022mm, T, 90
C7, 61.9831mm, 97.3022mm, T, 90
C6, 57.1571mm, 97.3022mm, T, 90
C5, 59.5701mm, 97.3022mm, T, 90
C4, 56.3881mm, 133.7313mm, T, 90
C2, 61.4681mm, 123.3172mm, T, 90
B1, 183.8896mm, 108.0472mm, T, 90
